x_coord,y_coord
30034.1445,32237.498
30466.3496,32935.1367
30502.0605,32966.8867
30617.8164,32970.7734
30448.766,32767.6002
30019.3942,32184.232
31121.6383,33283.2558
31076.0824,33087.5529
14434.5806,36212.2117
14836.3467,36315.1094
14004.6897,36456.5691
14024.5648,36666.6301
14768.3178,36520.4472
14648.3419,36766.7841
14072.9303,36691.7296
14206.3144,36819.8339
14693.2928,36077.4814
14451.8262,36853.4082
14190.8096,36556.4297
14653.3598,36396.1197
14505.671,36484.5266
14356.1152,36445.4219
26866.0055,29672.9702
25357.1463,29858.3486
25857.7754,30056.6386
25769.3044,30009.7592
25648.7676,29924.1943
25276.6255,30161.1078
26373.3689,29793.0744
25399.6152,29918.9512
26379.7745,29741.6402
25118.4593,29967.6925
25937.1387,29610.3105
26052.9053,29603.6488
26194.9184,29563.3295
25574.8666,30013.7121
26154.2109,29519.0586
26136.5799,29432.235
26367.6248,29465.267
26279.3643,29471.6752
25288.5551,30009.2384
25139.9101,30093.7491
25823.7973,30215.5782
25889.8506,30167.4343
27059.7441,28364.7207
27297.2734,28508.1074
29935.2249,32102.3708
29921.7021,32043.75
31656.358,33667.0566
30605.3384,34301.5549
30711.6128,34245.0049
30374.6768,33753.3566
30532.4552,33886.3275
30912.1514,34418.5838
31102.1822,34445.0449
30457.6666,34068.0647
30357.7598,33918.1953
30854.1176,34276.8274
30715.4375,34382.2305
30967.5336,34242.9719
30496.3613,34277.707
30595.5166,34387.1259
30701.4824,34507.3281
30459.8203,33979.9766
30768.0099,34127.2333
30249.9707,33920.4375
30363.7715,34154.9883
29939.1769,33469.7037
27996.7913,29911.548
27590.7177,29931.3587
27485.7966,29859.2793
26893.4354,29547.635
25037.7298,29927.4975
39172.2903,34582.9441
39040.5507,34603.0432
38803.7496,34507.0389
38523.5625,34424.8004
38733.3633,34652.0234
38920.4797,34597.393
39934.8473,33971.8042
40079.2617,34051.0508
39979.5352,33797.4766
40253.2539,33562.5352
39989.0226,34488.949
39944.1477,34766.4678
39682.7466,34983.1176
39829.8122,34830.0817
39927.1063,35018.7287
39910.4336,35166.7734
39654.1953,35145.7266
39379.6445,34971.7852
39733.8204,34684.0888
39744.5963,34524.6842
39511.7026,34404.0851
39405.1638,34385.3038
39391.0547,34503.7773
39335.7148,34586.2422
39067.9293,34972.3428
38925.7812,34972.8867
38851.0273,34961.4805
38492.9294,34812.5657
38482.3867,35129.4805
38743.3984,35178.6016
37970.7092,34944.8181
38250.9386,34876.1148
38112.1565,34836.4398
37896.9112,34789.4034
38027.5007,34700.9495
38287.6513,34686.6961
38388.8477,34932.0469
36875.1304,34739.7397
36838.2461,34857.5547
36751.1433,34871.319
37245.6836,34927.6641
37412.3828,35122.5781
37110.0129,35160.4187
37112.9655,35062.2564
37537.5855,35336.4582
38310.1233,35520.6463
38797.4548,34284.616
38858.3585,34156.6609
39044.9784,33995.6053
38654.6406,35490.0933
33505.3407,31638.549
37937.9062,35591.9375
40502.4219,33588.332
40720.5785,33389.4366
40577.3467,33351.3208
35903.9044,34750.8852
36132.6219,34913.1736
39530.0381,33861.6257
40091.8567,35069.2759
38973.5423,34152.0151
39208.9372,34373.2247
39298.3108,34305.7565
38536.5889,34280.1109
38125.3637,34059.3926
36243.3489,35174.2762
36196.3322,34965.864
36428.7057,35005.0793
37379.8318,35029.8453
39251.41,35342.7343
39464.4992,35319.6825
39692.6527,35310.6109
39583.9006,35439.6773
38567.8313,34234.9589
38531.1666,34114.4997
38020.7204,35604.61
39309.7384,33939.7118
38805.8064,35117.6383
37899.5392,34299.8988
39227.6155,34273.0906
40023.6834,34256.9953
39379.4586,34770.0381
39449.3971,33644.4324
39683.2391,33835.9985
39568.2194,34796.4641
39184.2416,34709.4842
39831.9791,33865.2621
37007.0862,34999.621
39197.6251,33772.3265
39224.3984,33631.2777
38688.1313,34940.2851
38668.2981,34834.5151
39325.3283,34194.2403
39088.1581,34133.7804
38037.1417,35371.0192
37860.0561,35362.5681
37954.0727,34412.5835
24092.2494,31574.3039
18254.4236,40780.2921
24269.3904,31777.7395
37970.7792,34316.7372
38267.4015,34545.0259
37828.6078,34590.3599
38194.9297,34332.7592
37801.1879,34221.6662
38025.2345,34117.8358
38043.4844,33973.1328
38279.717,34164.7007
37584.5733,34347.0451
38313.9557,34438.2547
23934.8536,31553.8887
18073.929,40606.0548
17706.6149,40616.7716
18365.515,42251.984
17241.061,40350.4217
17384.4024,40068.5078
17135.7982,40142.8636
17141.5616,39946.6052
17288.8253,39773.897
17432.5108,39671.7658
17981.6699,39927.7497
17457.2727,40253.9548
17986.1193,40839.8157
19169.1019,39939.7774
18219.6466,40274.898
17822.7967,40079.0923
17816.8828,40361.3125
17841.917,40541.616
17897.997,40235.3892
17716.2981,40045.082
17528.125,40178.0781
17691.7227,40448.332
18797.0391,40329.4648
18875.7734,40272.4492
18880.332,40136.4375
17629.7003,40593.1789
18276.2056,40644.1197
17782.5234,40677.3633
17983.1711,40586.8844
18031.459,40472.3086
17943.7793,40730.3711
18079.0694,40228.4669
18072.2888,40190.9725
18734.6348,40064.9164
18725.4974,40162.9532
18213.6543,40111.7031
18164.3898,40080.8939
18055.7989,39931.0181
17943.2973,41180.8424
17736.9363,41167.5327
17881.6424,41361.0029
17735.8704,41577.6177
17863.0257,41773.0092
18148.0534,41666.0012
18090.945,42004.5732
18912.6962,40234.9502
18972.5753,40347.8975
18298.9982,41919.8106
18333.4408,41430.698
18363.8684,41631.0171
18631.6662,41611.081
18724.0529,41824.3887
18675.6762,41907.1414
18471.7225,41904.1787
18189.9873,42143.3391
18006.9629,42295.9806
19030.3926,40238.918
18031.8277,42477.9839
18459.6171,42391.2166
18754.0711,42503.4389
18748.505,42602.4434
18629.4583,42224.5521
18561.8248,42111.2701
18357.265,42562.8339
18541.2289,42678.1909
18157.8829,42638.4707
17841.6171,39866.5767
19073.3023,40300.0728
19076.7918,40333.5431
18268.595,42905.4416
18607.321,42882.7597
18715.5324,42855.1194
18826.1888,42747.1959
18872.7705,42404.3378
18064.0069,41548.1433
18233.5224,41769.4117
18945.8673,40250.2699
17408.5254,39880.0108
17467.9916,39852.8673
17718.345,39728.0193
17994.5933,39697.5018
17975.1882,39477.9306
18119.3938,39664.2718
18305.5202,39560.1044
18361.9468,39838.3954
18660.8389,39885.9891
18695.601,39679.8718
18405.5916,40449.7464
18614.0227,40353.8181
18162.1088,40384.5044
18449.8356,40217.8144
25894.5957,30541.7316
20283.9283,33479.407
20411.5945,33513.7467
28656.4003,28548.62
31337.5185,31734.6056
31521.2359,31781.8809
31565.7734,31819.2245
31599.1055,31890.8184
30612.5155,32012.4666
31450.707,31933.4004
30406.377,32213.3125
30379.3535,32063.9883
31351.9277,31854.1587
31218.4922,31730.7441
31229.7422,31984.8511
28873.2635,29983.8819
20293.6227,33003.4096
31083.7452,33199.2328
45233.8667,41140.4649
45212.8158,41314.4339
45045.6516,41323.3393
45264.5806,41344.1397
30264.3593,31442.1456
20837.8461,33414.5726
20522.6462,33009.6141
20519.9139,33782.4237
20528.1198,33646.8063
20417.4455,33296.1766
20290.6787,33170.3249
20116.5191,32955.7857
20273.9935,32905.3373
20215.8784,32729.9597
20306.3068,32672.9468
20269.322,32850.6337
20717.3694,32581.3946
20425.9232,32848.95
20469.2131,32645.0967
20624.0039,32590.9865
20566.6991,32662.4476
20991.1005,33766.9817
21096.4707,34048.6484
20840.7482,33844.4911
20945.3775,33870.6421
21010.3372,33832.437
20211.495,33712.5638
20070.902,33845.674
19754.8437,32767.8945
19749.6211,32629.2695
20967.8189,32458.1382
20852.22,32522.1809
19998.4863,32640.0059
19907.0039,32541.0547
19738.0729,32326.8057
20603.5028,31877.1704
19944.5184,32148.1942
20000.4883,31993.6074
20236.2232,31960.1377
20282.323,31764.2687
20121.5156,31683.3711
20089.6113,32510.9746
21009.1656,32642.4126
20789.5326,31386.0593
20905.8297,32821.8286
20696.2978,32975.0306
21037.2754,33018.7828
20800.9102,33216.8047
20988.0194,33324.5654
25576.6096,29218.1692
25165.8976,29305.1091
25390.1316,29254.1321
25668.1428,29257.6985
25346.6693,29308.7018
25737.908,29213.3689
24864.8825,31078.208
24685.6441,31202.2045
24885.23,31140.1423
28860.8985,28827.1925
25064.6593,30982.3473
25620.1022,30938.7202
25626.2862,30840.6986
25362.2059,30853.9755
25420.9278,30734.4029
35602.0712,33587.8309
35915.3437,33873.7578
35919.0977,33712.4297
35720.628,33641.6254
35717.5859,33809.3711
35601.9233,33339.4481
35554.1536,33406.7099
35778.02,33499.0305
35070.0793,33964.0908
35240.6635,33456.9535
28733.8679,28847.7781
28622.0835,28739.5121
31121.2668,32341.4155
25150.3008,33394.0586
25091.4622,33354.5073
24983.1434,33218.9585
25130.4814,33238.9594
31930.2182,33890.9953
34041.285,33588.5472
34068.7879,33577.593
33577.7747,33572.0259
33973.3743,33717.7668
33896.2141,33557.8016
34214.9727,33789.4883
33687.9721,33553.6719
33666.5701,33497.1087
33897.2922,33690.8917
33733.7656,33357.2852
34014.6484,33308.1484
34037.1328,33202.9687
22713.9209,32338.0954
22836.9123,32767.7127
22985.068,32801.7739
22552.3566,32407.3317
22974.2865,32655.7823
22874.5952,32575.0244
23051.41,32606.52
23013.32,32520.93
23036.915,32422.5932
22917.7735,32435.7026
35236.2639,33275.6378
35252.7807,33256.2338
26691.3633,30161.685
29669.4119,34933.9237
26779.8906,30181.1563
26367.5806,30069.2434
26768.4355,29793.2871
26561.0277,29871.6493
26627.3867,30326.9473
26834.7218,30269.4645
26627.4121,29677.5937
26708.25,29683.2227
26827.4609,29545.2148
26650.6074,29571.3613
34773.1311,38246.9455
35619.4738,40071.2687
35497.5223,39745.8425
35850.5915,39983.2046
34765.7308,38421.4154
34832.7635,38300.6631
33985.8567,37798.8386
34361.8201,37404.5949
34862.2295,38666.4192
35216.1904,38747.8164
35261.0156,38873.8796
35023.2798,39024.5479
33942.0874,37892.5664
34095.5904,37977.2274
34080.7076,37750.4416
34191.1758,37792.5508
33618.2651,37216.3433
34533.3906,38329.9531
35501.0297,39817.8795
33468.3697,39724.6803
35112.2965,39125.1711
33994.2969,40153.4168
33910.4258,36933.0703
33243.2373,37175.2101
34480.0781,37732.4375
34496.2494,37985.1602
35293.1914,39057.5898
35318.5017,39372.252
33282.6779,40818.5609
33375.828,40694.4027
33418.229,40968.2736
33158.7215,40684.5984
33602.1418,40785.1834
33373.4677,40905.5905
35083.1678,39473.6275
35011.0401,39719.7005
33869.4973,39265.7089
33681.9766,39065.4219
33362.3594,39106.8477
34192.6367,38725.0781
33528.7279,31552.9403
34041.3045,38684.032
34015.3359,39445.9023
34340.7388,39488.4518
33859.2191,39106.9608
34417.4102,38475.2617
34539.9612,37136.0181
33122.7539,39254.3111
33575.4429,39573.3197
33674.0721,39346.8732
33899.488,39516.6851
33877.2539,39766.0352
33969.957,39760.9531
34748.896,39244.171
34763.52,39713.1288
34837.5859,40085.5664
34565.1384,38599.6502
34456.3578,39923.9507
34320.5249,40069.8193
34280.7309,40250.2304
34386.2027,39209.6336
33679.7387,37636.4156
34665.4285,39409.9585
34321.5593,39246.2794
35081.043,37491.8984
35056,37688.4219
34677.457,36999.3906
34440.7881,40108.8916
34213.8314,40180.7212
34147.6282,40310.4206
35127.5269,39373.949
33895.9179,39593.254
34622.7764,36051.0336
34913.4572,35860.8756
34955.3741,39587.9068
34512.6726,39104.8807
34638.456,39111.1082
34063.4941,37305.6551
34141.9377,40105.4776
33904.3999,39964.9457
33852.9205,40066.849
33590.2913,40031.4783
34093.2753,36992.4181
34196.4873,36967.1434
33136.498,37101.9975
33667.3839,39716.3125
33558.5205,39862.4297
33249.7444,39781.9719
33091.2937,39576.5271
35344.4023,38110.0508
35706.5,38048.3008
35650.3728,37831.2487
35239,37964.8945
35362.1016,38036.1953
33253.8313,39628.6415
32957.2644,39767.9074
34150.9965,39781.4108
34756.316,39980.4127
33698.1131,37886.9986
33778.1037,37858.0136
32955.07,39984.6887
33219.5565,39999.7403
34315.7845,38258.1777
33208.1321,40216.5463
33267.1427,40391.5643
34319.1474,37341.5832
34282.3014,37198.2092
34837.3954,39248.3805
32938.9335,40216.0826
34202.0544,36839.2199
29354.6692,29687.508
26668.6582,29993.0383
35147.8437,32640.4844
35090.332,32769.8359
35018.9851,32918.853
34975.9951,32997.6117
34875.6086,32812.5333
27376.7446,30252.7338
27390.4513,29983.9052
27342.3203,30487.627
27905.0274,30102.5966
27733.5273,30287.791
27392.1841,30064.5769
27294.4381,30155.4567
27910.6083,30378.7005
33444.3288,40713.4165
33209.3106,40779.9579
27560.7129,30056.3984
33437.4888,39407.7276
27517.5526,30418.6159
27399.5432,30402.6587
27733.2963,30015.8248
33038.8293,40052.7361
33274.8825,40196.8778
27317.7804,29079.9207
27105.3295,29188.4439
33672.4849,31431.027
33547.8789,31758.125
35293.685,33059.6021
35269.0428,33048.779
28629.3066,29963.8422
28703.5642,30064.2195
27298.7467,29375.368
27274.0467,29729.2354
27140.8217,29448.5025
28610.6237,30051.6694
15461.2578,36356.8719
12861.1777,35680.0784
13624.8076,35994.9675
12989.0554,35920.273
13134.6714,35737.8133
13026.1447,36061.7744
13172.241,35894.5938
13399.316,35488.4096
13617.7777,35278.113
13110.6908,36127.6675
13477.0963,37120.2881
13715.4817,36231.4554
13269.4787,35285.1266
12848.9764,35472.8488
13451.5242,36321.3672
13584.64,37295.9859
12947.1123,35275.2364
13232.9976,36272.1883
13511.8473,36412.4785
13673.3012,36493.4353
12683.1316,35279.6451
12551.4555,35465.1802
13838.2635,36303.7106
13595.4624,36957.2314
12894.0173,36018.9264
14062.3852,35973.1774
13598.5325,36287.4517
13512.8021,35739.3606
13359.4862,35709.3734
13497.6635,36071.1758
13330.2931,35944.9436
12808.9157,35648.0735
31175.747,32165.4237
25441.3095,30196.268
15969.0318,36726.9783
13711.4533,36158.9284
13822.1572,35914.7433
13008.3628,35980.6896
15568.9516,35541.8105
12828.9589,35710.5525
17402.9823,35401.3306
17625.0718,36019.1003
17607.7146,36118.9485
17421.1122,36167.969
17271.9009,36187.6309
17512.2512,36248.7864
17772.459,36243.0234
17129.8093,36282.7747
17110.9062,36422.9844
17040.9824,36558.0742
16942.1133,36672.5273
17255.3159,35642.1729
16777.377,36482.1289
16487.2598,36798.418
16615.6323,36620.0095
16523.8906,37047.8984
16726.1406,36905.0234
16739.1947,36793.4383
16619.8437,36430.0234
16684.9102,36333.9766
16568.1895,36340.3828
15018.2256,36557.7852
14999.1709,36634.0039
15045.9395,36750.0547
17112.1421,35740.2671
14888.3145,36770.8398
15441.7334,36438.2695
15152.9335,36434.7257
15398.4307,36577.707
15335.207,36693.7578
14883.267,37142.1353
14921.6961,37045.2742
15231.4766,36804.4414
15538.8643,36919.3594
17826.3697,35522.9964
15709.2368,36905.2238
15615.0684,36712.7969
15786.7041,36706.2305
15975.2217,36672.4648
15904.8789,36553.3516
16144.0439,36789.7031
15284.1084,36874.7695
15168.6443,36930.4317
15219.7479,37142.2128
15272.0103,37284.0817
15352.863,37320.212
17883.7508,35609.7189
15669.4749,37311.863
15904.1348,37295.1406
15900.1895,37060.7578
16137.4785,36983.8477
15890.8105,36893.8086
15866.4258,36751.25
17537.9507,35231.3632
17516.667,35130.0187
17598.8143,35184.3604
17576.3345,35155.1132
17486.8128,35693.066
15152.11,36874.8285
15155.3093,36830.6309
11874.875,35804.875
11539.0898,35894.793
11666.8136,35782.3574
11654.2969,35993.1406
16707.915,36290.7825
11971.8174,36102.7266
12175.81,35939.8984
12357.588,35978.1413
12264.1306,36023.6972
12455.3311,35761.7852
12422.54,35944.981
17395.7576,35966.8282
12440.6748,36204.0469
12514.7743,36484.9714
12910.9012,36599.9072
12965.2227,36238.1133
12730.417,36090.9727
12812.9485,36110.9309
12397.1268,36260.1612
12554.243,36272.307
13002.919,36619.5998
12620.3435,35969.4867
12599.8443,36515.2018
17789.8162,35843.6681
17884.6894,35867.6356
13270.9893,36409.7045
13182.8539,36856.8882
12322.8738,36443.2248
12613.8496,36926.4932
12771.2097,36650.4919
12744.1045,36899.5648
13061.8605,36897.8976
13965.0447,35981.9547
13819.7717,36058.9311
17837.3306,36030.7859
18444.8766,35967.1503
18071.4794,35523.767
18377.6747,35526.0278
18186.6838,35712.1634
17966.9948,35762.0649
18403.3359,35807.1678
18166.4546,35964.0009
18276.4189,36061.6102
12813.2745,35771.8721
12722.6845,35766.8461
29009.336,29350.1611
29110.783,29377.6082
29106.1357,29419.0762
29052.1921,29224.6796
31984.8599,33610.8985
31959.8887,33979.5898
31369.1973,33463.1641
31383.6001,33648.8612
31145.9587,33485.5967
32089.1664,33646.109
31293.2559,33326.1406
31607.4592,33883.3513
31686.3712,33999.0332
32043.8984,33676
32158.2889,33930.5369
32530.8352,33607.979
32135.5156,33759.7891
30136.2998,32358.8836
36412.1149,34662.9517
36579.9508,34967.3109
36751.9219,35122.572
36690.7665,35134.9344
36895.1004,35095.7928
30035.265,32724.2432
29722.4759,33152.4737
30084.3192,32664.3631
30083.6504,32880.4805
29932.1543,32838.1094
29848.7578,32968.1406
30020.0977,33207.0158
30613.3563,32065.8984
33634.3718,32491.1189
34056.2683,32342.8113
33523.1191,32313.2942
33792.0373,32312.0363
33812.7654,32478.3858
34098.3121,32420.0166
32454.2248,32632.6824
27480.5391,29500.8137
27349.7876,29542.5114
27480.2057,29232.1227
27329.8822,29325.2282
27570.7265,29441.0716
27546.4706,29366.694
35319.8966,34382.6444
35281.6557,34583.8609
35764.1553,34634.4679
35904.5382,34433.0259
35693.8016,34294.5677
35426.6861,34198.7233
34682.004,34739.3755
35542.2415,34680.104
33686.7144,32414.074
34230.6149,32242.3548
33456.8846,32339.0013
33589.582,32206.4841
34152.4219,32154.25
34127.5,32207.5039
33624.4511,32211.1481
33696.3242,32544.5075
33864.8318,32356.4852
33891.3203,32539.3633
25985.8189,30193.5347
36701.4493,33951.4516
36631.1094,34016.6914
36588.6943,34141.3917
32678.1348,36847.0548
24676.3894,30639.2696
24684.8066,30491.8693
33981.2699,34740.5471
33873.4028,34064.3335
34087.5573,34277.3707
33805.7605,34616.0975
34149.4724,34667.1985
34318.7769,34060.4025
30951.0578,33699.6625
30906.0026,33644.1601
30880.3705,33808.8344
30565.2223,33368.7671
37371.0903,31905.8597
36524.3349,31701.1168
36262.5434,31721.8625
36406.0703,31559.5098
36194.5872,31654.4656
36086.4038,31669.644
36149.1148,31581.2922
37231.475,32107.329
36133.3286,31515.2207
37274.8789,31840.2031
36854.4147,31775.1611
36109.3594,31519.7479
37128.3266,31854.8695
37001.0531,31814.983
37220.0664,32048.6387
36809.7582,31975.4666
36819.8751,31889.6622
37244.1328,31980.8496
36343.2232,31627.1688
36356.2562,31612.4137
37055.7578,31990.209
30868.3965,32223.6387
30966.4004,32248.0234
31057.5078,32274.7238
31029.1022,32165.4648
31013.0397,32209.1946
33911.4824,33924.4674
33937.7242,34516.7499
34003.7503,34423.7894
34105.2715,34051.7061
33769.1354,34814.6793
33423.9102,34401.875
33830.3378,34765.5068
33506.0078,33840.2109
33436.9727,33943.3672
33822.8767,34967.5382
33853.4512,34389.6627
33802.3661,34325.7124
33818.9546,34433.4006
34027.245,34375.424
34047.6106,34582.1714
31304.4327,31815.6323
39322.4773,38244.2282
39457.9515,38139.8942
36110.4866,42837.2882
39463.5572,38242.0507
39454.1027,38455.323
39453.5479,38608.266
39861.432,38191.3771
40071.7965,38819.0019
40022.4095,38900.4834
40204.2581,38671.6502
40166.8931,38573.2629
17475.2563,39985.5474
17989.9222,41499.0296
15435.0187,35211.8516
12930.5286,36787.2543
36861.9823,41783.2542
36878.2862,42747.5714
21106.05,40635.5878
20516.3308,40817.8945
25514.1791,30563.4425
42604.5156,38773.6442
40065.8952,39988.2066
39453.4352,40190.3477
35624.873,40823.859
39261.5396,37495.72
23640.69,45832.6288
24076.3392,47457.4236
23752.5835,46647.3671
23295.7544,47198.0451
41971.3984,39012.3008
36567.6957,42059.8507
36383.4393,42222.0385
36467.5455,41586.9263
36576.967,41721.609
35982.6704,42695.5596
36821.298,41862.4746
36463.3164,42276.7143
37244.6093,42288.7308
37013.9934,41998.5248
36545.1733,42395.6863
37111.8432,42381.4517
37141.8926,41874.4571
37191.4597,42180.6537
35831.2383,42404.7448
36348.4338,42380.9942
36731.4595,41935.1533
37123.7973,42130.2229
35762.7151,42260.5799
36145.8836,42652.6976
36897.0646,42490.1374
36989.2194,41806.2447
35933.3863,42966.5081
36521.4363,42569.3563
36309.071,42857.6068
36232.401,42775.4525
36113.2644,43096.1637
36495.4409,42788.2417
36381.5675,42939.0974
35192.9049,42872.8244
35326.1743,42841.9622
35636.9282,42723.6586
36722.4823,42665.6779
35765.2615,42620.0879
35568.6186,42304.0762
37034.4487,41726.1275
36714.9868,42459.2349
35522.7156,42499.8392
35463.4411,42762.8004
35463.2889,42357.9568
35358.2193,42587.4444
35270.4165,42433.5886
35583.2467,43557.8383
35217.6575,43016.4003
34902.6149,42928.77
35069.2354,43028.1349
36726.0925,43212.3119
37055.2239,42642.9595
37289.3261,42421.1514
35282.797,43327.1927
36896.1695,43074.4327
36410.0435,43106.6938
34923.1009,43042.4085
36486.8089,43065.2274
36557.4238,43015.7992
35389.8621,43509.9902
36352.1816,41721.0087
35143.9937,43367.4988
34935.4135,42745.609
37380.9995,42710.8525
34668.4946,42762.2985
37175.8873,42873.1765
34784.0419,42552.2276
34533.1571,42794.7856
34486.264,42569.8371
35281.7517,43917.728
35345.9447,43901.2419
37596.6187,42542.5155
35143.0392,43671.1572
35655.2525,44286.5897
35919.5379,44619.0472
35450.915,44307.2069
35655.8827,44477.4339
41720.207,39587.085
42373.461,38753.7772
42482.8751,38537.8136
42657.807,38550.2316
42053.3726,38723.5879
42109.8791,38528.4122
42284.7957,38467.7932
42400.9355,38268.6092
42071.2657,38321.6853
41750.9103,38533.7141
41766.7964,38887.5806
42210.8365,39121.6128
40702.1342,38896.9108
40920.1747,39245.8244
41231.6084,38954.5238
40930.0174,38967.7033
41131.632,38802.2291
40496.5258,39820.0373
